1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
-5148664 8388707 -4449383 8388707 -8388308 -7629774 -8388308 -7520664 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8112867 -8388308 -7685575
-5138880 8388707 -4458470 8388707 -8388308 -7631528 -8388308 -7482372 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7821761 -8388308 -7686503
-5178649 8388707 -4499478 8388707 -8388308 -7633455 -8388308 -7456852 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7577997 -8388308 -7706198
-5292547 8388707 -4495476 8388707 -8388308 -7627734 -8388308 -7446471 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7537786 -8388308 -7722864
-5291445 8388707 -4511017 8388707 -8388308 -7626068 -8388308 -7493895 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7506156 -8388308 -7724742
-5235319 8388707 -4549483 8388707 -8388308 -7627926 -8388308 -7781679 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7492486 -8388308 -7773235
-5158584 8388707 -4602850 8388707 -8388308 -7629910 -8388308 -8040956 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7487252 -8388308 -7820740
-5135354 8388707 -4623754 8388707 -8388308 -7631822 -8388308 -8035287 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7490715 -8388308 -7720478
-5079825 8388707 -4631125 8388707 -8388308 -7637235 -8388308 -8050281 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7519548 -8388308 -7682311
-5117941 8388707 -4644648 8388707 -8388308 -7693835 -8388308 -8051037 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7544519 -8388308 -7691723
-5257558 8388707 -4658109 8388707 -8388308 -7772050 -8388308 -8050528 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7536491 -8388308 -7699134
-5477640 8388707 -4678602 8388707 -8388308 -7767197 -8388308 -8064130 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7582335 -8388308 -7796452
-5513134 8388707 -4689826 8388707 -8388308 -7685233 -8388308 -8080489 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7662561 -8388308 -7957770
-5510214 8388707 -4691813 8388707 -8388308 -7490500 -8388308 -8057377 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7742692 -8388308 -8330205
-5503541 8388707 -4688818 8388707 -8388308 -7433170 -8388308 -8135999 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7812663 -8388308 -8388408
-5523002 8388707 -4682689 8388707 -8388308 -7422589 -8388308 -8229276 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7890973 -8388308 -8388408
-5555583 8388707 -4652628 8388707 -8388308 -7508447 -8388308 -8310229 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7980228 -8388308 -8388408
-5574908 8388707 -4635376 8388707 -8388308 -7734571 -8388308 -8371365 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8022003 -8388308 -8388408
-5576094 8388707 -4634326 8388707 -8388308 -7716816 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8046684 -8388308 -8388408
-5583203 8388707 -4633563 8388707 -8388308 -7779878 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8077655 -8388308 -8388408
-5589427 8388707 -4644219 8388707 -8388308 -7784524 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8111589 -8388308 -8388408
-5563338 8388707 -4682366 8388707 -8388308 -7911817 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8144316 -8388308 -8388408
-5568272 8388707 -4708338 8388707 -8388308 -7820511 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8187315 -8388308 -8388408
-5599183 8388707 -4730698 8388707 -8388308 -7831983 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8214782 -8388308 -8388408
-5629729 8388707 -4719245 8388707 -8388308 -7878714 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7961411 -8388308 -8235041 -8388308 -8388408
-5684158 8388707 -4725550 8388707 -8388308 -8105595 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7894082 -8388308 -8264574 -8388308 -8388408
-5756586 8388707 -4739568 8388707 -8388308 -7570608 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7922569 -8388308 -8303523 -8388308 -8388408
-5803582 8388707 -4782925 8388707 -8388308 -7340255 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7947358 -8388308 -8339299 -8388308 -8388408
-5827054 8388707 -4801729 8388707 -8388308 -7397081 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7973951 -8388308 -8377106 -8388308 -8388408
